id,name,slug,category,hq,country,founded,employees_min,employees_max,website,description,has_proprietary_tools,proprietary_tools,uses_open_source,open_source_stack,rating,min_project_cost,notes
120,2Stallions,2stallions,independent,Singapore,Singapore,,44,44,https://2stallions.com,Performance marketing agency. Score 28.,,[],,[],4.8,"$1,000",
138,3Q Digital,3q-digital,network,USA,USA,,,,https://3qdigital.com,Performance marketing arm of DEPT.,,[],,[],4.5,,
87,3Q/DEPT,3q-dept,network,Global (Netherlands HQ),Global,,98,98,https://deptagency.com,Global digital agency (DEPT). Score 34.,,[],,[],4.8,"$50,000",
43,ADLABS,adlabs,independent,"Moscow, Russia",Russia,2004,80,80,https://www.adlabs.ru/,Leading Russian marketing agency; proprietary campaign management platform.,1,"[""Proprietary campaign management platform""]",,[],4.3,,
102,AIM,aim,independent,USA,USA,,29,29,https://allinclusivemarketing.com,Performance marketing agency. Score 30.,,[],,[],4.9,"$5,000",
12,AKQA,akqa,specialist,London / Amsterdam,UK,1995,,,https://www.akqa.com,Digital design and innovation agency (part of WPP).,0,[],,[],,,
35,Acceleration Partners,acceleration-partners,independent,Global (3 continents),Global,2007,201,500,https://www.accelerationpartners.com,Award-winning global partnership/performance marketing agency.,1,"[""APVision""]",,[],4.9,,
137,Accenture Interactive,accenture-interactive,network,Global,Global,,,,https://www.accenture.com,Accenture's experience/performance arm (rebranded to Accenture Song).,,[],,[],4.6,,
7,Accenture Song,accenture-song,network,"Global (Dublin, Ireland HQ)",Global,,,,https://www.accenture.com/song,Accenture's tech-powered creative group (formerly Accenture Interactive); includes Droga5.,1,"[""Accenture (internal martech/data platforms)""]",1,"[""Python"", ""dbt"", ""Apache Airflow"", ""TensorFlow""]",,,Large engineering org; open-source data/ML stack inferred.
39,Ad Agents,ad-agents,independent,"Herrenberg, Germany",Germany,1999,201,500,https://www.ad-agents.com/en/,Performance marketing company within Ad Pepper Media Group (clients in 50+ countries).,1,"[""iLead""]",,[],4.0,,
64,AdVenture Media Group,adventure-media-group,independent,"New York, NY, USA",USA,,,,https://adventureppc.com,,,[],,[],,"$5,000/mo",
139,Adlucent,adlucent,independent,USA,USA,,,,https://adlucent.com,Performance marketing agency (part of Epsilon/Publicis).,,[],,[],4.5,,
47,Algorithm,algorithm,independent,"Johannesburg, South Africa",South Africa,2016,5,10,https://www.algorithm.agency/,South African performance marketing & data specialist (with sister agency Quant).,,[],,[],4.9,,
55,Amsive Digital,amsive-digital,independent,"New York, NY, USA",USA,,,,https://amsivedigital.com,,,[],,[],,"$15,000/mo",
41,Antevenio,antevenio,independent,"Madrid, Spain",Spain,1997,51,200,https://www.antevenio.com,20+ years experience; first Spanish ad company to IPO on Alternext Paris.,,[],,[],4.3,,
57,Bamboo,bamboo,independent,"New York, NY, USA",USA,,,,https://bamboocrowdmarketing.com,,,[],,[],,"$12,000/mo",
84,Big Leap,big-leap,independent,USA,USA,,122,122,https://bigleap.com,Performance marketing agency. Score 37.,,[],,[],4.8,"$1,000",
131,Blue Wheel,blue-wheel,independent,"Birmingham, MI, USA",USA,,100,100,,,1,"[""(proprietary retail media tech)""]",,[],,,
51,Brainlabs,brainlabs,independent,"London, UK",UK,,,,https://brainlabsdigital.com,Global digital media agency; data science & automation.,1,"[""Brainlabs (proprietary media automation)""]",,[],4.6,"$15,000/mo",
71,CSTMR,cstmr,specialist,"Austin, TX, USA",USA,2014,10,25,https://cstmr.com/,Boutique agency built exclusively for Fintech/financial services.,,[],,[],,,
67,Carro,carro,independent,Remote,Global,,,,https://getcarro.com,,,[],,[],,"$8,000/mo",
107,ClickSlice,clickslice,independent,"London, UK",UK,,10,10,https://clickslice.co.uk,Performance marketing agency. Score 30.,,[],,[],5.0,"$10,000",
69,Coinbound,coinbound,specialist,"New York, NY, USA",USA,2018,50,75,https://coinbound.io,World's most award-winning Web3 marketing agency; 500+ Web3 influencer network.,,[],,[],4.8,,
93,Consultwebs,consultwebs,independent,USA,USA,,108,108,https://consultwebs.com,Performance marketing agency. Score 32.,,[],,[],4.9,"$5,000",
46,Contevo,contevo,independent,"Melbourne, Australia",Australia,2005,11,50,https://contevo.com.au,Well-established Australian full-service performance agency.,,[],,[],4.5,,
54,Croud,croud,independent,"London, UK",UK,,,,https://croud.com,,1,"[""Croud (proprietary talent/performance platform)""]",,[],,"$12,000/mo",
118,DGTLmart Technologies,dgtlmart-technologies,independent,India,India,,77,77,https://dgtlmart.com,Performance marketing agency. Score 28.,,[],,[],4.8,"$1,000",
37,DMi Partners,dmi-partners,independent,"Philadelphia, PA, USA",USA,2003,51,200,https://www.dmipartners.com/,"Full-service digital marketing agency; data-driven, award-winning campaigns.",,[],,[],5.0,,
24,Darkroom,darkroom,independent,"Los Angeles, CA, USA",USA,,50,50,https://www.darkroomagency.com,Creator-led performance marketing agency built on an AI/technology layer.,1,"[""(universal technology layer / AI agents)"", ""Shadow (AI platform for marketers)"", ""Universal technology layer"", ""The Observatory""]",,[],,,Emphasizes AI agents and a universal tech layer.
96,Delante,delante,independent,Poland,Poland,,69,69,https://delante.co,Performance marketing agency. Score 31.,,[],,[],4.9,"$1,000",
8,Deloitte Digital,deloitte-digital,network,Global,Global,,,,https://www.deloittedigital.com,Digital consulting and experience practice within Deloitte.,,[],,[],,,
5,Dentsu,dentsu,network,"Tokyo, Japan",Japan,1901,,,https://www.dentsu.com,"Holding company owning Dentsu Creative, iProspect, Merkle; data arm Merkle.",1,"[""Merkle (technology stack)"", ""dentsu Canvas""]",,[],,,
73,Digital Authority Partners,digital-authority-partners,independent,"Chicago, IL, USA",USA,2016,50,100,https://www.digitalauthority.me/,Fintech agency using an 'infinite strategy loop' for continuous optimization.,,[],,[],4.7,,
49,Digital Optimization,digital-optimization,independent,"Stellenbosch, South Africa",South Africa,2015,11,50,https://digitaloptimization.co.za,South African agency obsessed with performance; Google/Facebook premium partner.,,[],,[],4.8,,
135,Digital Silk,digital-silk,independent,USA,USA,,,,https://www.digitalsilk.com/,Brand-led performance agency; fixes destination (UX) before driving traffic.,,[],,[],,,
22,Directive,directive,specialist,"Irvine, CA, USA",USA,2014,150,150,https://directiveconsulting.com,B2B performance marketing agency.,0,[],0,[],,"$15,000/mo",
19,Disruptive Advertising,disruptive-advertising,independent,"Pleasant Grove, UT, USA",USA,2012,124,124,https://www.disruptiveadvertising.com,PPC and CRO agency.,1,"[""Optimize""]",0,[],4.8,"$7,500/mo",
83,Dot Com Infoway,dot-com-infoway,independent,India,India,,363,363,https://dotcominfoway.com,Performance marketing agency. Score 38.,,[],,[],4.8,"$1,000",
11,Droga5,droga5,specialist,"New York, NY, USA",USA,2006,,,https://www.droga5.com,"Creative agency, part of Accenture Song.",0,[],0,[],,,
44,E-Promo,e-promo,independent,"Moscow, Russia",Russia,2008,12,12,https://www.e-promo.ru/,Popular Russian agency; also subcontracts for iProspect.,,[],,[],4.0,,
112,ENCODEDOTS TechnoLabs,encodedots-technolabs,independent,India,India,,28,28,https://encodedots.com,Performance marketing agency. Score 29.,,[],,[],5.0,"$5,000",
81,Funnel Boost Media,funnel-boost-media,independent,"San Antonio, TX, USA",USA,,47,47,https://funnelboostmedia.net,Best for performance-driven SEO and lead generation. Score 39.,,[],,[],4.9,"$1,000",
76,Grazitti Interactive,grazitti-interactive,independent,USA / Global,USA,,1389,1389,https://grazitti.com,Best for omnichannel marketing and B2B performance campaigns. Score 59.,,[],,[],5.0,"$10,000",
65,Hanapin Marketing,hanapin-marketing,independent,"Bloomington, IN, USA",USA,,,,https://hanapinmarketing.com,,,[],,[],,"$7,000/mo",
6,Havas,havas,network,"Puteaux, France",France,1835,,,https://www.havas.com,Holding company owning Havas Creative and Havas Media.,,[],,[],,,
88,HawkSEM,hawksem,independent,USA,USA,,88,88,https://hawksem.com,Performance marketing agency. Score 33.,,[],,[],4.9,"$1,000",
25,Hawke Media,hawke-media,independent,"Santa Monica, CA, USA",USA,2014,200,200,https://hawkemedia.com,"On-demand, a-la-carte performance marketing agency.",0,[],0,[],,"$5,000/mo",
38,Hughes Media,hughes-media,independent,"Atlanta, GA, USA",USA,2000,11,50,https://www.hughesmedia.us,Multi-award-winning Atlanta agency; avg client tenure 8 years.,,[],,[],4.3,,
134,Icreativez,icreativez,independent,Pakistan & Global,Pakistan,,,,https://icreativez.com,Global outsourcing powerhouse; scales operations across 18 countries; 300% annual client growth claims.,,[],,[],,,
23,Ignite Visibility,ignite-visibility,independent,"San Diego, CA, USA",USA,2013,100,100,https://ignitevisibility.com,Full-service digital marketing agency.,1,"[""SureFire Social"", ""SureFire Search"", ""Certainty (forecasting)""]",,[],,"$10,000/mo",
122,Inboundsys,inboundsys,independent,India,India,,53,53,https://inboundsys.com,Performance marketing agency. Score 28.,,[],,[],4.3,"$1,000",
128,Inflow,inflow,independent,"Denver, CO, USA",USA,,30,30,,,,[],,[],,,
62,Instapage,instapage,specialist,"San Francisco, CA, USA",USA,,,,https://instapage.com,Landing-page platform with strategic services for performance marketers.,1,"[""Instapage (landing page platform)""]",,[],,$199/mo+,
53,Jellyfish,jellyfish,independent,"London, UK",UK,,,,https://jellyfish.com,,,[],,[],,"$15,000/mo",
78,Jives Media,jives-media,independent,"San Francisco, CA, USA",USA,,48,48,https://jivesmedia.com,"Best for agile, fast-paced performance campaigns with strong creative. Score 48.",,[],,[],5.0,"$1,000",
31,JumpFly,jumpfly,independent,"Arlington Heights, IL, USA",USA,2003,40,40,https://www.jumpfly.com,PPC management agency.,0,[],0,[],,,
18,KlientBoost,klientboost,independent,"Costa Mesa, CA, USA",USA,2012,100,100,https://www.klientboost.com,PPC and conversion-rate-optimization agency.,0,[],0,[],,"$8,000/mo",
101,Kollective,kollective,independent,USA,USA,,2,2,https://kollective.agency,Performance marketing agency. Score 30.,,[],,[],5.0,"$5,000",
40,Kwanko,kwanko,independent,"Île-de-France, France",France,2003,51,200,https://www.kwanko.com,Cross-device performance marketing specialist; unified campaign platform.,1,"[""Kwanko Platform""]",,[],4.4,,
59,Ladder,ladder,independent,"San Francisco, CA, USA",USA,,30,30,https://ladder.io,,,[],,[],,"$15,000/mo",
90,Lounge Lizard,lounge-lizard,independent,USA,USA,,57,57,https://loungelizard.com,Performance marketing agency. Score 32.,,[],,[],4.8,"$10,000",
63,Madgicx,madgicx,specialist,"Tel Aviv, Israel",Israel,,,,https://madgicx.com,AI-powered advertising platform with managed services for Facebook and Google Ads.,1,"[""Madgicx (AI ads platform)""]",,[],,"$5,000/mo+",
80,Magneto IT Solutions,magneto-it-solutions,independent,India,India,,165,165,https://magnetoitsolutions.com,Best for eCommerce-focused paid advertising and multichannel growth. Score 39.,,[],,[],4.8,"$10,000",
85,Matrix Media Solutions,matrix-media-solutions,independent,India,India,,161,161,https://matrixnmedia.com,Performance marketing agency. Score 37.,,[],,[],4.9,"$1,000",
111,Maximize Studio,maximize-studio,independent,Global,Global,,14,14,https://maxmizestudio.com,Performance marketing agency. Score 29.,,[],,[],5.0,"$10,000",
105,Mayerfeld Consulting,mayerfeld-consulting,independent,Global,Global,,12,12,https://mayerfeld.consulting,Performance marketing agency. Score 30.,,[],,[],5.0,"$1,000",
74,Media Logic,media-logic,independent,"Albany, NY, USA",USA,1984,40,40,https://www.medialogic.com/,40+ years financial-services marketing; proprietary DataSnap real-time metrics tool.,1,"[""DataSnap""]",,[],4.5,,
136,Merkle,merkle,network,"Columbia, MD, USA",USA,,,,https://merkleinc.com,"Data-driven performance/CRM agency, part of Dentsu.",1,"[""Merkle technology stack (Dentsu)""]",,[],4.7,,
26,Metric Theory,metric-theory,independent,"San Francisco, CA, USA",USA,2012,150,150,https://www.metrictheory.com,Data-driven paid media agency (part of Nextroll).,0,[],,[],4.5,"$10,000/mo",
45,Metrixa,metrixa,independent,"Melbourne, Australia",Australia,2010,51,200,https://www.metrixadigital.com.au/,Data-driven APAC agency; offers free AdWords audit.,,[],,[],4.6,,
21,Moburst,moburst,specialist,"New York, NY, USA / Tel Aviv",USA,2013,80,80,https://www.moburst.com,Mobile growth and app-performance agency.,1,"[""(proprietary mobile UA/creative platform)""]",0,[],,,
106,Monsoon Agency,monsoon-agency,independent,Global,Global,,20,20,https://monsoon.agency,Performance marketing agency. Score 30.,,[],,[],4.9,"$5,000",
56,MuteSix,mutesix,independent,"Los Angeles, CA, USA",USA,,,,https://mutesix.com,,,[],,[],,"$15,000/mo",
108,My Biz Niche,my-biz-niche,independent,USA,USA,,52,52,https://mybizniche.com,Performance marketing agency. Score 30.,,[],,[],5.0,"$1,000",
89,Netrush,netrush,independent,USA,USA,,117,117,https://netrush.com,Performance marketing agency. Score 33.,,[],,[],4.9,"$1,000",
115,"New Target, Inc.",new-target-inc,independent,USA,USA,,41,41,https://newtarget.com,Performance marketing agency. Score 29.,,[],,[],4.9,"$10,000",
75,NextLeft,nextleft,specialist,"San Diego, CA, USA",USA,2016,11,50,https://nextleft.com/,Certified B Corp SEO/content agency for financial services.,,[],,[],4.8,,
70,NinjaPromo,ninjapromo,independent,"New York, NY, USA",USA,2017,110,110,https://ninjapromo.io/,Full-stack Fintech/Crypto agency; Marketing-as-a-Service subscription; offices on 5 continents.,,[],,[],4.9,,
17,NoGood,nogood,independent,"New York, NY, USA",USA,2017,11,50,https://nogood.io,"Growth agency for SaaS, fintech and DTC brands.",1,"[""Goodie""]",0,[],4.9,"$12,000/mo",
114,NucleosysTech,nucleosystech,independent,India,India,,42,42,https://nucleosystech.com,Performance marketing agency. Score 29.,,[],,[],4.3,"$1,000",
92,Omega Digital,omega-digital,independent,Global,Global,,212,212,https://omegadigital.org,Performance marketing agency. Score 32.,,[],,[],5.0,"$1,000",
2,Omnicom Group,omnicom-group,network,"New York, NY, USA",USA,1986,,,https://www.omnicomgroup.com,"Holding company owning BBDO, DDB, TBWA, OMD; data arm Annalect.",1,"[""Annalect""]",,[],,,
72,Optimist,optimist,specialist,"Denver, CO, USA",USA,2016,10,25,https://optimistinc.com/,B2B content agency; focuses on proprietary research/data assets and 'follow the money' methodology.,,[],,[],,,
140,PMG,pmg,independent,USA,USA,,,,https://pmgi.com,Independent full-service digital agency.,,[],,[],4.4,,
34,PartnerCentric,partnercentric,independent,"New York, NY, USA (Remote)",USA,2017,51,200,https://partnercentric.com,USA's largest independent partner/affiliate marketing agency (WBE-certified).,1,"[""Control Suite""]",,[],4.9,,
33,Perform[cb] Agency,perform-cb-agency,independent,"Sarasota, FL, USA",USA,2002,51,200,https://performcb.com,"Performance & affiliate marketing agency; platform-agnostic tracking (Impact, Partnerize, Rakuten); 95% client retention.",1,"[""Outcome Engine""]",,[],4.9,,
14,Performics,performics,network,"Chicago, IL, USA",USA,1998,,,https://www.performics.com,Performance and commerce agency within Publicis Groupe.,1,"[""Apollo"", ""HVT""]",,[],4.6,,
110,PixelCrayons,pixelcrayons,independent,India,India,,62,62,https://pixelcrayons.com,Performance marketing agency. Score 29.,,[],,[],4.3,"$5,000",
20,Power Digital,power-digital,independent,"San Diego, CA, USA",USA,2012,500,500,https://powerdigital.com,Full-funnel performance marketing agency with proprietary tech.,1,"[""NOVA""]",1,"[""Python"", ""dbt"", ""Apache Airflow"", ""Metabase""]",,"$10,000/mo",NOVA is a proprietary AI marketing-intelligence OS.
3,Publicis Groupe,publicis-groupe,network,"Paris, France",France,1926,,,https://www.publicisgroupe.com,"Holding company owning Leo Burnett, Saatchi & Saatchi, Publicis Sapient, Performics, Epsilon.",1,"[""Epsilon"", ""Marcel"", ""Performics Apollo""]",,[],,,
42,Quisma,quisma,network,"Munich, Germany",Germany,2001,51,200,https://quisma.com/,German-market specialist; part of GroupM/WPP.,,[],,[],4.1,,
9,R/GA,r-ga,specialist,"New York, NY, USA",USA,1977,,,https://www.rga.com,Digital-first creative agency (part of IPG).,,[],,[],,,
127,Rain the Growth Agency,rain-the-growth-agency,independent,"Portland, OR, USA",USA,,150,150,,,,[],,[],,,
125,Refuel Agency,refuel-agency,independent,"Santa Barbara, CA, USA",USA,,50,50,,"Specializes in niche/hard-to-reach audiences (Gen Z, military, multicultural) via exclusive media partnerships.",1,"[""Proprietary audience data""]",,[],,,
52,Reprise Digital,reprise-digital,network,"New York, NY, USA",USA,,,,https://reprisedigital.com,Global performance marketing agency within IPG Mediabrands.,,[],,[],,"$20,000/mo",
141,Resolution Media,resolution-media,network,USA,USA,,,,https://resolutionmedia.com,Performance media arm of OMG (Omnicom Media Group).,,[],,[],4.3,,
48,Rogerwilco,rogerwilco,independent,"Cape Town, South Africa",South Africa,2008,11,50,http://www.rogerwilco.co.za,Award-winning South African full-service agency; Google/Drupal/IBM partner.,,[],,[],4.7,,
95,Rudra Innovative Software,rudra-innovative-software,independent,India,India,,106,106,https://rudrainnovative.com,Performance marketing agency. Score 31.,,[],,[],5.0,"$10,000",
94,SAM WEB STUDIO,sam-web-studio,independent,India,India,,32,32,https://samwebstudio.com,Performance marketing agency. Score 31.,,[],,[],4.9,"$5,000",
79,SEO Discovery,seo-discovery,independent,India,India,,762,762,https://seodiscovery.com,Best for budget-friendly performance marketing and 24/7 support. Score 47.,,[],,[],4.7,"$1,000",
98,STS Digital Solutions,sts-digital-solutions,independent,India,India,,21,21,https://stsdigitalsolutions.com,Performance marketing agency. Score 31.,,[],,[],5.0,"$1,000",
130,Sculpt,sculpt,specialist,"Iowa City, IA, USA",USA,,10,20,,,,[],,[],,,
82,Searchbloom,searchbloom,independent,USA,USA,,33,33,https://searchbloom.com,"Best for combining SEO, PPC, CRO into measurable outcomes. Score 38.",,[],,[],4.9,"$1,000",
117,Senate Marketing,senate-marketing,independent,Global,Global,,10,10,https://senate-marketing.com,Performance marketing agency. Score 29.,,[],,[],4.5,"$1,000",
68,Siege Media,siege-media,specialist,"Austin, TX, USA",USA,2012,50,50,https://www.siegemedia.com,Organic growth/content agency; proprietary DataFlywheel methodology; $148M+ yearly client traffic value.,1,"[""DataFlywheel""]",,[],4.8,,
61,Single Grain,single-grain,independent,"Los Angeles, CA, USA",USA,,,,https://singlegrain.com,,,[],,[],,"$10,000/mo",
104,SkyZ Infotech,skyz-infotech,independent,India,India,,3,3,https://skyzinfotech.com,Performance marketing agency. Score 30.,,[],,[],5.0,"$1,000",
30,SmartSites,smartsites,independent,"Paramus, NJ, USA",USA,2011,307,307,https://www.smartsites.com,Web design and digital marketing agency.,0,[],0,[],5.0,"$1,000",
124,Sociallyin,sociallyin,independent,"Atlanta, GA, USA",USA,,50,50,,Creative social media agency with in-house production.,,[],,[],,,
91,Solvios Technology,solvios-technology,independent,USA,USA,,49,49,https://solvios.technology,Performance marketing agency. Score 32.,,[],,[],5.0,"$5,000",
60,Strike Social,strike-social,independent,"Chicago, IL, USA",USA,,,,https://strikesocial.com,,1,"[""Strike Social (proprietary video optimization)""]",,[],,"$12,000/mo",
116,Supple Digital,supple-digital,independent,Australia,Australia,,34,34,https://supple.com.au,Performance marketing agency. Score 29.,,[],,[],5.0,"$1,000",
32,Taktical Digital,taktical-digital,independent,"New York, NY, USA",USA,2012,50,50,https://taktical.co,Performance marketing and SEO agency.,0,[],0,[],,,
121,Tenet,tenet,independent,Global,Global,,18,18,https://wearetenet.com,Performance marketing agency. Score 28.,,[],,[],5.0,"$1,000",
113,The Go-To Guy,the-go-to-guy,independent,India,India,,53,53,https://thegotoguy.co,Performance marketing agency. Score 29.,,[],,[],4.4,"$1,000",
36,The Goodway Group,the-goodway-group,independent,"Jenkintown, PA, USA",USA,2006,201,500,https://goodwaygroup.com,Award-winning digital media agency with proprietary performance-driven ad platform (founded 1919 as a printing business).,1,"[""RealValue""]",,[],4.3,,
4,The Interpublic Group (IPG),the-interpublic-group-ipg,network,"New York, NY, USA",USA,1902,,,https://www.interpublic.com,"Holding company owning McCann, MullenLowe, FCB, Mediabrands; data arm Acxiom.",1,"[""Acxiom""]",,[],,,
126,Thrive Internet Marketing Agency,thrive-internet-marketing-agency,independent,"Dallas, TX, USA",USA,,200,200,,Trusted partner for franchises/multi-location; no-contract policy.,,[],,[],,,
16,Tinuiti,tinuiti,independent,"New York, NY, USA",USA,2004,1000,1000,https://www.tinuiti.com,"Largest independent retail-media and performance agency (Amazon, Meta, Google).",1,"[""(proprietary retail-media automation)"", ""Mobius""]",1,"[""Python"", ""dbt"", ""Looker""]",4.5,"$15,000/mo",Engineering-led; open-source data stack inferred.
129,Top Growth Marketing,top-growth-marketing,independent,Remote-first (USA),USA,,10,20,,,,[],,[],,,
123,Tuff,tuff,independent,"Portland, OR, USA",USA,,30,30,,"Lean, channel-agnostic growth agency for early-stage and scaling brands.",,[],,[],,,
27,Udonis,udonis,specialist,"Zagreb, Croatia",Croatia,2015,10,50,https://www.udonis.co,Mobile games and apps user-acquisition agency.,0,[],0,[],,,
66,Unicorn Innovations,unicorn-innovations,independent,"San Francisco, CA, USA",USA,,,,https://unicorninnovations.com,,,[],,[],,"$15,000/mo",
133,Valkor Digital,valkor-digital,independent,Pakistan & Global,Pakistan,,,,https://valkordigital.com,Performance agency pioneering 'Revenue Engineering'; proprietary AI models for Google/Meta/TikTok/Programmatic; server-side (CAPI) tracking.,1,"[""Proprietary AI ad-buying models""]",,[],,,
100,Viacon,viacon,independent,India,India,,138,138,https://viacon.io,Performance marketing agency. Score 30.,,[],,[],5.0,"$1,000",
28,Viral Nation,viral-nation,specialist,"Mississauga, Canada",Canada,2014,200,200,https://viralnation.com,Influencer and performance marketing agency with owned SaaS.,1,"[""InNetwork""]",,[],,,
97,Virtual Coders,virtual-coders,independent,India,India,,44,44,https://virtualcoders.net,Performance marketing agency. Score 31.,,[],,[],5.0,"$5,000",
58,Voy Media,voy-media,independent,"Miami, FL, USA",USA,,,,https://voymedia.com,,,[],,[],,"$10,000/mo",
1,WPP,wpp,network,"London, UK",UK,1985,,,https://www.wpp.com,"World's largest advertising holding company; owns Ogilvy, Grey, VML, GroupM, AKQA, Wunderman Thompson.",1,"[""Choreograph"", ""GroupM (mPlatform/CANVAS)""]",,[],,,Owns data platform Choreograph and GroupM media tech.
50,Web Tonic,web-tonic,independent,"Dubai, UAE",UAE,2018,,,https://www.webtonic.io/,"Global performance marketing agency with 14 international locations; full-funnel paid media, performance branding, SEO, analytics.",,[],,[],,"$3,000/mo",
99,WebDesk Solution LLC,webdesk-solution-llc,independent,India,India,,7,7,https://webdesksolution.com,Performance marketing agency. Score 31.,,[],,[],5.0,"$5,000",
29,WebFX,webfx,independent,"Harrisburg, PA, USA",USA,1996,1195,1195,https://www.webfx.com,Full-service digital marketing agency with proprietary martech.,1,"[""MarketingCloudFX""]",1,"[""Python"", ""MySQL"", ""Apache""]",4.9,"$1,000",MarketingCloudFX is a proprietary all-in-one martech suite.
86,WebiMax,webimax,independent,USA,USA,,23,23,https://webimax.com,Performance marketing agency. Score 35.,,[],,[],5.0,"$1,000",
77,Webskitters,webskitters,independent,India,India,,755,755,https://webskitters.com,Best for small/mid-sized businesses seeking end-to-end digital results. Score 57.,,[],,[],4.9,"$10,000",
10,Wieden+Kennedy,wieden-kennedy,specialist,"Portland, OR, USA",USA,1982,,,https://www.wk.com,Independent creative agency known for Nike.,0,[],0,[],,,
109,Wireframes Digital,wireframes-digital,independent,Global,Global,,3,3,https://wireframesdigital.com,Performance marketing agency. Score 30.,,[],,[],4.8,"$1,000",
119,Wiserbrand,wiserbrand,independent,Ukraine,Ukraine,,69,69,https://wiserbrand.com,Performance marketing agency. Score 28.,,[],,[],4.9,"$10,000",
15,Wpromote,wpromote,independent,"El Segundo, CA, USA",USA,2001,500,500,https://www.wpromote.com,Largest independent performance marketing agency in the US.,1,"[""(in-house reporting/optimization tech)"", ""(proprietary cross-channel tech)""]",,[],4.4,"$12,000/mo",Owns in-house tech; specific product names not public.
132,Zima Media,zima-media,independent,Remote-first (Global),Global,,10,20,,,,[],,[],,,
103,Zoewebs,zoewebs,independent,Malaysia,Malaysia,,14,14,https://zoewebs.com,Performance marketing agency. Score 30.,,[],,[],5.0,"$1,000",
13,iProspect,iprospect,network,"Boston, MA, USA",USA,1996,5001,10000,https://www.iprospect.com,"Global performance marketing agency within Dentsu; paid search, programmatic, social.",0,[],0,[],4.1,,
